"family","Nucinellidae","Solemyidae","Yoldiidae","Nuculanidae","Malletiidae","Nuculidae","Isognomonidae","Pteriidae","Malleidae","Pulvinitidae","Gryphaeidae","Ostreidae","Mytilidae","Pinnidae","Arcidae","Noetiidae","Limopsidae","Glycymerididae","Limidae","Anomiidae","Dimyidae","Plicatulidae","Placunidae","Pectinidae","Spondylidae","Propeamussiidae","Lucinidae","Thyasiridae","Gastrochaenidae","Lasaeidae","Galeommatidae","Solenidae","Pharidae","Hiatellidae","Pholadidae","Dreissenidae","Corbulidae","Myidae","Teredinidae","Cyrenidae","Cyrenoididae","Glauconomidae","Chamidae","Hemidonacidae","Trapezidae","Arcticidae","Glossidae","Veneridae","Kelliellidae","Vesicomyidae","Gaimardiidae","Cyamiidae","Ungulinidae","Mactridae","Sphaeriidae","Cardiidae","Solecurtidae","Psammobiidae","Semelidae","Donacidae","Tellinidae","Cleidothaeridae","Myochamidae","Periplomatidae","Thraciidae","Verticordiidae","Pandoridae","Lyonsiidae","Laternulidae","Poromyidae","Cuspidariidae","Crassatellidae","Astartidae","Carditidae","Iridinidae","Margaritifera","Unionidae","Hyriidae","Trigoniidae"
Nucinellidae,0,0.4582,0.5426,0.5809,0.5592,0.4574,1.1617,1.2122,1.1487,1.0392,1.2218,1.214,1.1626,1.0661,1.1165,1.1347,1.1338,1.1373,1.1564,1.1731,1.1322,1.1748,1.2504,1.1695,1.2417,1.1382,1.2367,1.2158,1.3549,1.3488,1.3401,1.2974,1.3209,1.354,1.6271,1.5958,1.5133,1.5341,1.5062,1.5898,1.6002,1.5663,1.7794,1.6837,1.6515,1.6471,1.6532,1.7185,1.5872,1.5898,1.528,1.5228,1.5515,1.5019,1.4323,1.6436,1.5045,1.4836,1.4958,1.4992,1.4279,1.2722,1.4757,1.281,1.2983,1.2253,1.2662,1.3462,1.2279,1.4323,1.3184,1.0739,1.1286,1.0409,1.2426,1.1191,1.1148,1.0391,1.0565
Solemyidae,0.4582,0,0.453,0.4913,0.4696,0.3678,1.0721,1.1226,1.0591,0.9496,1.1322,1.1244,1.073,0.9765,1.0269,1.0451,1.0442,1.0477,1.0668,1.0835,1.0426,1.0852,1.1608,1.0799,1.1521,1.0486,1.1471,1.1262,1.2653,1.2592,1.2505,1.2078,1.2313,1.2644,1.5375,1.5062,1.4237,1.4445,1.4166,1.5002,1.5106,1.4767,1.6898,1.5941,1.5619,1.5575,1.5636,1.6289,1.4976,1.5002,1.4384,1.4332,1.4619,1.4123,1.3427,1.554,1.4149,1.394,1.4062,1.4096,1.3383,1.1826,1.3861,1.1914,1.2087,1.1357,1.1766,1.2566,1.1383,1.3427,1.2288,0.9843,1.039,0.9513,1.153,1.0295,1.0252,0.9495,0.9669
Yoldiidae,0.5426,0.453,0,0.1617,0.2252,0.4104,1.1147,1.1652,1.1017,0.9922,1.1748,1.167,1.1156,1.0191,1.0695,1.0877,1.0868,1.0903,1.1094,1.1261,1.0852,1.1278,1.2034,1.1225,1.1947,1.0912,1.1897,1.1688,1.3079,1.3018,1.2931,1.2504,1.2739,1.307,1.5801,1.5488,1.4663,1.4871,1.4592,1.5428,1.5532,1.5193,1.7324,1.6367,1.6045,1.6001,1.6062,1.6715,1.5402,1.5428,1.481,1.4758,1.5045,1.4549,1.3853,1.5966,1.4575,1.4366,1.4488,1.4522,1.3809,1.2252,1.4287,1.234,1.2513,1.1783,1.2192,1.2992,1.1809,1.3853,1.2714,1.0269,1.0816,0.9939,1.1956,1.0721,1.0678,0.9921,1.0095
Nuculanidae,0.5809,0.4913,0.1617,0,0.2635,0.4487,1.153,1.2035,1.14,1.0305,1.2131,1.2053,1.1539,1.0574,1.1078,1.126,1.1251,1.1286,1.1477,1.1644,1.1235,1.1661,1.2417,1.1608,1.233,1.1295,1.228,1.2071,1.3462,1.3401,1.3314,1.2887,1.3122,1.3453,1.6184,1.5871,1.5046,1.5254,1.4975,1.5811,1.5915,1.5576,1.7707,1.675,1.6428,1.6384,1.6445,1.7098,1.5785,1.5811,1.5193,1.5141,1.5428,1.4932,1.4236,1.6349,1.4958,1.4749,1.4871,1.4905,1.4192,1.2635,1.467,1.2723,1.2896,1.2166,1.2575,1.3375,1.2192,1.4236,1.3097,1.0652,1.1199,1.0322,1.2339,1.1104,1.1061,1.0304,1.0478
Malletiidae,0.5592,0.4696,0.2252,0.2635,0,0.427,1.1313,1.1818,1.1183,1.0088,1.1914,1.1836,1.1322,1.0357,1.0861,1.1043,1.1034,1.1069,1.126,1.1427,1.1018,1.1444,1.22,1.1391,1.2113,1.1078,1.2063,1.1854,1.3245,1.3184,1.3097,1.267,1.2905,1.3236,1.5967,1.5654,1.4829,1.5037,1.4758,1.5594,1.5698,1.5359,1.749,1.6533,1.6211,1.6167,1.6228,1.6881,1.5568,1.5594,1.4976,1.4924,1.5211,1.4715,1.4019,1.6132,1.4741,1.4532,1.4654,1.4688,1.3975,1.2418,1.4453,1.2506,1.2679,1.1949,1.2358,1.3158,1.1975,1.4019,1.288,1.0435,1.0982,1.0105,1.2122,1.0887,1.0844,1.0087,1.0261
Nuculidae,0.4574,0.3678,0.4104,0.4487,0.427,0,0.9651,1.0156,0.9521,0.8426,1.0252,1.0174,0.966,0.8695,0.9199,0.9381,0.9372,0.9407,0.9598,0.9765,0.9356,0.9782,1.0538,0.9729,1.0451,0.9416,1.0401,1.0192,1.1583,1.1522,1.1435,1.1008,1.1243,1.1574,1.4305,1.3992,1.3167,1.3375,1.3096,1.3932,1.4036,1.3697,1.5828,1.4871,1.4549,1.4505,1.4566,1.5219,1.3906,1.3932,1.3314,1.3262,1.3549,1.3053,1.2357,1.447,1.3079,1.287,1.2992,1.3026,1.2313,1.0756,1.2791,1.0844,1.1017,1.0287,1.0696,1.1496,1.0313,1.2357,1.1218,0.8773,0.932,0.8443,1.046,0.9225,0.9182,0.8425,0.8599
Isognomonidae,1.1617,1.0721,1.1147,1.153,1.1313,0.9651,0,0.2591,0.3,0.2391,0.4999,0.4921,0.5625,0.466,0.6712,0.6894,0.6885,0.692,0.7111,0.7278,0.6869,0.7295,0.8051,0.7242,0.7964,0.6929,1.1288,1.1079,1.247,1.2409,1.2322,1.1895,1.213,1.2461,1.5192,1.4879,1.4054,1.4262,1.3983,1.4819,1.4923,1.4584,1.6715,1.5758,1.5436,1.5392,1.5453,1.6106,1.4793,1.4819,1.4201,1.4149,1.4436,1.394,1.3244,1.5357,1.3966,1.3757,1.3879,1.3913,1.32,1.1643,1.3678,1.1731,1.1904,1.1174,1.1583,1.2383,1.12,1.3244,1.2105,0.966,1.0207,0.933,1.1347,1.0112,1.0069,0.9312,0.9486
Pteriidae,1.2122,1.1226,1.1652,1.2035,1.1818,1.0156,0.2591,0,0.3505,0.2896,0.5504,0.5426,0.613,0.5165,0.7217,0.7399,0.739,0.7425,0.7616,0.7783,0.7374,0.78,0.8556,0.7747,0.8469,0.7434,1.1793,1.1584,1.2975,1.2914,1.2827,1.24,1.2635,1.2966,1.5697,1.5384,1.4559,1.4767,1.4488,1.5324,1.5428,1.5089,1.722,1.6263,1.5941,1.5897,1.5958,1.6611,1.5298,1.5324,1.4706,1.4654,1.4941,1.4445,1.3749,1.5862,1.4471,1.4262,1.4384,1.4418,1.3705,1.2148,1.4183,1.2236,1.2409,1.1679,1.2088,1.2888,1.1705,1.3749,1.261,1.0165,1.0712,0.9835,1.1852,1.0617,1.0574,0.9817,0.9991
Malleidae,1.1487,1.0591,1.1017,1.14,1.1183,0.9521,0.3,0.3505,0,0.2261,0.4869,0.4791,0.5495,0.453,0.6582,0.6764,0.6755,0.679,0.6981,0.7148,0.6739,0.7165,0.7921,0.7112,0.7834,0.6799,1.1158,1.0949,1.234,1.2279,1.2192,1.1765,1.2,1.2331,1.5062,1.4749,1.3924,1.4132,1.3853,1.4689,1.4793,1.4454,1.6585,1.5628,1.5306,1.5262,1.5323,1.5976,1.4663,1.4689,1.4071,1.4019,1.4306,1.381,1.3114,1.5227,1.3836,1.3627,1.3749,1.3783,1.307,1.1513,1.3548,1.1601,1.1774,1.1044,1.1453,1.2253,1.107,1.3114,1.1975,0.953,1.0077,0.92,1.1217,0.9982,0.9939,0.9182,0.9356
Pulvinitidae,1.0392,0.9496,0.9922,1.0305,1.0088,0.8426,0.2391,0.2896,0.2261,0,0.3774,0.3696,0.44,0.3435,0.5487,0.5669,0.566,0.5695,0.5886,0.6053,0.5644,0.607,0.6826,0.6017,0.6739,0.5704,1.0063,0.9854,1.1245,1.1184,1.1097,1.067,1.0905,1.1236,1.3967,1.3654,1.2829,1.3037,1.2758,1.3594,1.3698,1.3359,1.549,1.4533,1.4211,1.4167,1.4228,1.4881,1.3568,1.3594,1.2976,1.2924,1.3211,1.2715,1.2019,1.4132,1.2741,1.2532,1.2654,1.2688,1.1975,1.0418,1.2453,1.0506,1.0679,0.9949,1.0358,1.1158,0.9975,1.2019,1.088,0.8435,0.8982,0.8105,1.0122,0.8887,0.8844,0.8087,0.8261
